"Node Name","taxon A","taxon B","Node Age","Study reference"
"n26","Cyanerpes nitidus","Tersina viridis",8.8163465,"Barker et al. 2015 - chronogram 1"
"n26","Cyanerpes nitidus","Tersina viridis",9.21688,"Barker et al. 2015 - chronogram 2"
"n26","Cyanerpes nitidus","Tersina viridis",30.668784379,"Burns et al. 2014"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",5.83172400000001,"Jetz et al. 2012 - chronogram 1"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",6.477491,"Barker et al. 2015 - chronogram 1"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",6.52003683333334,"Jetz et al. 2012 - chronogram 2"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",6.52003700000001,"Hedges et al. 2015 - chronogram 2"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",6.55177000000001,"Hedges et al. 2015 - chronogram 1"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",6.764931,"Barker et al. 2015 - chronogram 2"
"n27","Cyanerpes caeruleus","Cyanerpes nitidus",23.533230059,"Burns et al. 2014"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.42747000000001,"Jetz et al. 2012 - chronogram 1"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.651433,"Barker et al. 2015 - chronogram 1"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.825467,"Barker et al. 2015 - chronogram 2"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.83201000000001,"Hedges et al. 2015 - chronogram 2"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.83201100000001,"Jetz et al. 2012 - chronogram 2"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",3.86831100000001,"Hedges et al. 2015 - chronogram 1"
"n28","Cyanerpes lucidus","Cyanerpes nitidus",13.215847159,"Burns et al. 2014"
"n29","Cyanerpes caeruleus","Cyanerpes cyaneus",0.419655000000002,"Barker et al. 2015 - chronogram 1"
"n29","Cyanerpes caeruleus","Cyanerpes cyaneus",0.439735000000002,"Barker et al. 2015 - chronogram 2"
"n29","Cyanerpes caeruleus","Cyanerpes cyaneus",1.527280189,"Burns et al. 2014"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",10.1178767548,"Barker et al. 2013"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",11.3209985,"Barker et al. 2015 - chronogram 1"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",11.8334635,"Barker et al. 2015 - chronogram 2"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",13.568996,"Hedges et al. 2015 - chronogram 2"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",13.681746,"Hedges et al. 2015 - chronogram 1"
"n30","Parkerthraustes humeralis","Porphyrospiza caerulescens",40.7510338792,"Burns et al. 2014"
"n31","Caryothraustes poliogaster","Orthogonys chloricterus",12.3367948695652,"Barker et al. 2015 - chronogram 1"
"n31","Caryothraustes poliogaster","Orthogonys chloricterus",12.3401284723,"Barker et al. 2013"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",10.5304438333333,"Barker et al. 2015 - chronogram 1"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",10.5379092113,"Barker et al. 2013"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",11.2095374444444,"Barker et al. 2015 - chronogram 2"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",12.7421825,"Hooper et al. 2017"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",14.5872600666667,"Jetz et al. 2012 - chronogram 1"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",18.037853,"Jetz et al. 2012 - chronogram 2"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",18.03786,"Hedges et al. 2015 - chronogram 2"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",18.1570689388889,"Hedges et al. 2015 - chronogram 1"
"n32","Caryothraustes poliogaster","Pheucticus ludovicianus",38.1656654238,"Burns et al. 2014"
"n33","Caryothraustes poliogaster","Cyanoloxia cyanoides",10.0136627272727,"Barker et al. 2015 - chronogram 1"
"n33","Caryothraustes poliogaster","Cyanoloxia cyanoides",10.2731275385,"Barker et al. 2013"
