"","MRCA","MaxAge","MinAge","taxonA","taxonB","reference","mrca_node_number","mrca_node_name"
"526","f1b2e22c126394be9a2e3d861abe970b",2.7181595,2.7181595,"Calcarius_mccownii","Plectrophenax_nivalis","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",310,"n310"
"587","f46882b5bf601e68f56d8f44aba91276",5.9281565,5.9281565,"Calcarius_mccownii","Plectrophenax_nivalis","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",310,"n310"
"535","6da4cc814e635d9b713cc495bf8a16d0",0.0179270000000002,0.0179270000000002,"Plectrophenax_nivalis","Plectrophenax_hyperboreus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",311,"n311"
"611","135a5980e949d466d67b9182e2205da2",0.0424880000000023,0.0424880000000023,"Plectrophenax_nivalis","Plectrophenax_hyperboreus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",311,"n311"
"698","b2b61998b44b4d05c6b252acbcaea70e",0.694793000000004,0.694793000000004,"Plectrophenax_nivalis","Plectrophenax_hyperboreus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",311,"n311"
"283","eb6fa685307ad050975a306698c046db",0.739637000000002,0.739637000000002,"Plectrophenax_hyperboreus","Plectrophenax_nivalis","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",311,"n311"
"896","3775b791d22f082b250b0a9b99c40f78",0.739637000000009,0.739637000000009,"Plectrophenax_nivalis","Plectrophenax_hyperboreus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",311,"n311"
"65","0c25446ba3ac7d52cd43717f43666796",0.900084000000007,0.900084000000007,"Plectrophenax_hyperboreus","Plectrophenax_nivalis","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",311,"n311"
"446","4736128774ac02c7d6ec9ddef4d5ea7c",13.2094277439024,13.2094277439024,"Peucaea_botterii","Phaeothlypis_fulvicauda","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",312,"n312"
"551","6633fc53a880a54129dda93d768c7a5b",13.7755652142857,13.7755652142857,"Phaeothlypis_fulvicauda","Peucaea_aestivalis","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",312,"n312"
"651","b6f44641e52ef3468bbc14d904cc1875",16.1694468513514,16.1694468513514,"Buarremon_torquatus","Phaeothlypis_fulvicauda","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",312,"n312"
"47","3c7727f3b7d780f033dfe25244d909a2",18.8978205,18.8978205,"Phaeothlypis_fulvicauda","Peucaea_cassinii","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",312,"n312"
"265","a144b819dd06fca554119e7f0e5ac6b0",18.984241,18.984241,"Buarremon_torquatus","Phaeothlypis_fulvicauda","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",312,"n312"
"846","5c854bb5509940844c4d9b34178278b3",18.9842434054054,18.9842434054054,"Buarremon_torquatus","Phaeothlypis_fulvicauda","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",312,"n312"
"452","0f8dba8331d568504d23239247951738",11.8365884642857,11.8365884642857,"Melophus_lathami","Peucaea_botterii","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",313,"n313"
"852","7b3efd3043645c1867de654a266d29fe",12.0212920490196,12.0212920490196,"Emberiza_capensis","Buarremon_torquatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",313,"n313"
"53","44e86dd0ea469e3edd62fd7d90c7d7e6",12.2729175666667,12.2729175666667,"Emberiza_capensis","Buarremon_virenticeps","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",313,"n313"
"656","5f6acc4d657f877f3070c6ff7e1b8677",12.3801572941177,12.3801572941177,"Emberiza_capensis","Buarremon_torquatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",313,"n313"
"8","2c4d17cfecb7c559a2efecdf535fda90",15.0180973529412,15.0180973529412,"Peucaea_botterii","Emberiza_flaviventris","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",313,"n313"
